                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.54064,                0.48877,                0.04064,                0.69814,                0.58368,                0.63215,                0.32104,                0.61091,                0.71371,                0.04658,                0.00241,                0.00241,                0.00241
                    117,                0.60498,                0.49006,                0.04716,                0.70423,                0.57985,                0.63485,                 0.3183,                0.61585,                0.71126,                0.04694,               0.002344,               0.002344,               0.002344
                    118,                0.54149,                0.48182,                0.04056,                0.71105,                0.57549,                0.63468,                0.31563,                0.62051,                0.70962,                0.04729,               0.002278,               0.002278,               0.002278
                    119,                0.57072,                0.51942,                0.04269,                0.71254,                0.57658,                0.63776,                0.31326,                0.62716,                0.70919,                 0.0479,               0.002212,               0.002212,               0.002212
                    120,                0.76223,                0.53555,                0.06003,                0.70628,                0.57066,                0.63683,                 0.3097,                0.63462,                0.70632,                0.04835,               0.002146,               0.002146,               0.002146
                    121,                0.47384,                0.47203,                0.03548,                0.69931,                0.56949,                0.63427,                0.30521,                0.63999,                0.70631,                0.04876,                0.00208,                0.00208,                0.00208
                    122,                0.75733,                0.53829,                0.05676,                0.71081,                0.56817,                0.63696,                0.30913,                0.64084,                0.70528,                0.04891,               0.002014,               0.002014,               0.002014
                    123,                 0.6847,                 0.5391,                0.05092,                0.70645,                0.56864,                0.63706,                0.30699,                0.64531,                0.70111,                0.04913,               0.001948,               0.001948,               0.001948
                    124,                0.48673,                0.47551,                0.03553,                0.71948,                0.57004,                0.64215,                0.30861,                0.64614,                0.69994,                0.04921,               0.001882,               0.001882,               0.001882
                    125,                0.72306,                0.49578,                0.05353,                0.70394,                0.56345,                0.63689,                0.30375,                0.65303,                0.69804,                0.04963,               0.001816,               0.001816,               0.001816
                    126,                0.50494,                 0.4759,                0.03569,                0.70904,                 0.5621,                0.64022,                0.30567,                 0.6526,                0.69522,                0.04941,                0.00175,                0.00175,                0.00175
                    127,                0.66482,                0.48992,                0.04908,                0.70956,                0.56304,                0.64268,                0.30836,                0.65052,                0.69608,                0.04959,               0.001684,               0.001684,               0.001684
                    128,                0.49826,                0.46083,                0.03653,                0.70149,                0.57154,                0.64471,                0.30818,                0.65205,                0.69445,                0.04964,               0.001618,               0.001618,               0.001618
                    129,                0.46409,                 0.4647,                0.03823,                0.69029,                0.57098,                0.64234,                0.30159,                0.65932,                0.69114,                0.05006,               0.001552,               0.001552,               0.001552
