                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.1149,                0.63408,                0.06344,                0.54845,                0.32646,                0.28206,                0.17035,                0.52814,                0.95279,                 0.0288,               0.005809,               0.005809,               0.005809
                    129,                0.97859,                0.72443,                0.04962,                0.55597,                0.32025,                0.28237,                0.16837,                 0.5325,                0.95169,                0.02907,               0.005776,               0.005776,               0.005776
                    130,                0.87932,                0.75696,                 0.0428,                0.55648,                0.32116,                0.28071,                0.16395,                0.54544,                0.94357,                0.02953,               0.005743,               0.005743,               0.005743
                    131,                0.85127,                0.76632,                0.04181,                0.55579,                0.31676,                0.28005,                0.15749,                0.56397,                 0.9315,                0.03023,                0.00571,                0.00571,                0.00571
                    132,                 1.0646,                0.66782,                0.05666,                 0.5507,                0.31777,                0.27894,                 0.1518,                0.57318,                0.92691,                0.03063,               0.005677,               0.005677,               0.005677
                    133,                0.98234,                0.69434,                0.05111,                0.55793,                0.31715,                0.27927,                0.15289,                0.57396,                0.92389,                0.03071,               0.005644,               0.005644,               0.005644
                    134,                 1.0035,                0.68548,                0.05061,                0.56144,                0.31295,                0.28057,                0.15201,                0.57684,                0.92113,                0.03091,               0.005611,               0.005611,               0.005611
                    135,                 1.1018,                0.64644,                0.06167,                0.56232,                 0.3156,                0.28132,                0.15094,                0.57955,                 0.9205,                0.03107,               0.005578,               0.005578,               0.005578
                    136,                 1.1563,                0.59438,                0.06743,                0.56544,                  0.316,                0.28188,                0.15118,                0.58707,                0.91135,                 0.0315,               0.005545,               0.005545,               0.005545
                    137,                0.92485,                0.70706,                0.04342,                0.57043,                0.31959,                 0.2827,                0.15428,                0.58833,                 0.9041,                0.03131,               0.005512,               0.005512,               0.005512
                    138,                0.93785,                0.70889,                0.04611,                0.56787,                0.32209,                0.28503,                0.15682,                0.58838,                0.90072,                0.03121,               0.005479,               0.005479,               0.005479
                    139,                 1.3456,                0.53912,                0.09418,                0.56032,                0.32098,                0.28304,                0.15493,                0.59473,                0.89382,                 0.0315,               0.005446,               0.005446,               0.005446
                    140,                 1.0107,                0.67408,                0.05155,                0.56095,                0.31929,                0.28273,                0.15443,                0.60446,                0.88518,                0.03199,               0.005413,               0.005413,               0.005413
                    141,                 1.0754,                0.65632,                0.05762,                0.56584,                0.31743,                0.28187,                0.15014,                0.61226,                0.88103,                 0.0326,                0.00538,                0.00538,                0.00538
